,Team_1,Team_2,Winner,Margin,Ground,Match Date
2252,England,Australia,Australia,57 runs,Chester-le-Street,"Jun 23, 2005"
2253,Australia,Bangladesh,Australia,10 wickets,Manchester,"Jun 25, 2005"
2254,England,Bangladesh,England,5 wickets,Leeds,"Jun 26, 2005"
2255,England,Australia,no result,-,Birmingham,"Jun 28, 2005"
2256,Australia,Bangladesh,Australia,6 wickets,Canterbury,"Jun 30, 2005"
2257,England,Australia,tied,-,Lord's,"Jul 2, 2005"
2258,England,Australia,England,9 wickets,Leeds,"Jul 7, 2005"
2259,England,Australia,Australia,7 wickets,Lord's,"Jul 10, 2005"
2260,England,Australia,Australia,8 wickets,The Oval,"Jul 12, 2005"
2261,Sri Lanka,India,Sri Lanka,3 wickets,Dambulla,"Jul 30, 2005"
2262,India,West Indies,India,6 wickets,Dambulla,"Jul 31, 2005"
2263,Sri Lanka,West Indies,Sri Lanka,50 runs,Dambulla,"Aug 2, 2005"
2264,Sri Lanka,India,Sri Lanka,4 wickets,Dambulla,"Aug 3, 2005"
2265,Sri Lanka,West Indies,West Indies,33 runs,Colombo (RPS),"Aug 6, 2005"
2266,India,West Indies,India,7 runs,Colombo (RPS),"Aug 7, 2005"
2267,Sri Lanka,India,Sri Lanka,18 runs,Colombo (RPS),"Aug 9, 2005"
2268,Africa XI,Asia XI,Africa XI,2 runs,Centurion,"Aug 17, 2005"
2269,Africa XI,Asia XI,Asia XI,17 runs,Durban,"Aug 20, 2005"
2270,Africa XI,Asia XI,no result,-,Durban,"Aug 21, 2005"
2271,Zimbabwe,New Zealand,New Zealand,192 runs,Bulawayo,"Aug 24, 2005"
2272,India,New Zealand,New Zealand,51 runs,Bulawayo,"Aug 26, 2005"
2273,Zimbabwe,India,India,161 runs,Harare,"Aug 29, 2005"
2274,Sri Lanka,Bangladesh,Sri Lanka,88 runs,Colombo (SSC),"Aug 31, 2005"
2275,Zimbabwe,New Zealand,New Zealand,27 runs,Harare,"Aug 31, 2005"
2276,Sri Lanka,Bangladesh,Sri Lanka,75 runs,Colombo (RPS),"Sep 2, 2005"
2277,India,New Zealand,India,6 wickets,Harare,"Sep 2, 2005"
2278,Sri Lanka,Bangladesh,Sri Lanka,6 wickets,Colombo (RPS),"Sep 4, 2005"
2279,Zimbabwe,India,India,4 wickets,Harare,"Sep 4, 2005"
2280,India,New Zealand,New Zealand,6 wickets,Harare,"Sep 6, 2005"
2281,Australia,ICC World XI,Australia,93 runs,Melbourne (Docklands),"Oct 5, 2005"
2282,Australia,ICC World XI,Australia,55 runs,Melbourne (Docklands),"Oct 7, 2005"
2283,Australia,ICC World XI,Australia,156 runs,Melbourne (Docklands),"Oct 9, 2005"
2284,South Africa,New Zealand,South Africa,2 wickets,Bloemfontein,"Oct 23, 2005"
2285,India,Sri Lanka,India,152 runs,Nagpur,"Oct 25, 2005"
2286,India,Sri Lanka,India,8 wickets,Mohali,"Oct 28, 2005"
2287,South Africa,New Zealand,South Africa,19 runs,Cape Town,"Oct 28, 2005"
2288,South Africa,New Zealand,South Africa,4 wickets,Gqeberha,"Oct 30, 2005"
2289,India,Sri Lanka,India,6 wickets,Jaipur,"Oct 31, 2005"
2290,India,Sri Lanka,India,4 wickets,Pune,"Nov 3, 2005"
2291,South Africa,New Zealand,no result,-,Durban,"Nov 4, 2005"
2292,South Africa,New Zealand,South Africa,5 wickets,Centurion,"Nov 6, 2005"
2293,India,Sri Lanka,Sri Lanka,5 wickets,Ahmedabad,"Nov 6, 2005"
2294,India,Sri Lanka,India,7 wickets,Rajkot,"Nov 9, 2005"
2295,India,Sri Lanka,India,5 wickets,Vadodara,"Nov 12, 2005"
2296,India,South Africa,South Africa,5 wickets,Hyderabad,"Nov 16, 2005"
2297,India,South Africa,India,6 wickets,Bengaluru,"Nov 19, 2005"
2298,India,South Africa,South Africa,10 wickets,Eden Gardens,"Nov 25, 2005"
2299,India,South Africa,India,5 wickets,Wankhede,"Nov 28, 2005"
2300,New Zealand,Australia,Australia,147 runs,Auckland,"Dec 3, 2005"
2301,New Zealand,Australia,Australia,2 runs,Wellington,"Dec 7, 2005"
2302,New Zealand,Australia,New Zealand,2 wickets,Christchurch,"Dec 10, 2005"
2303,Pakistan,England,England,42 runs,Lahore,"Dec 10, 2005"
2304,Pakistan,England,Pakistan,7 wickets,Lahore,"Dec 12, 2005"
2305,Pakistan,England,Pakistan,165 runs,Karachi,"Dec 15, 2005"
2306,Pakistan,England,Pakistan,13 runs,Rawalpindi,"Dec 19, 2005"
2307,Pakistan,England,England,6 runs,Rawalpindi,"Dec 21, 2005"
2308,New Zealand,Sri Lanka,New Zealand,7 wickets,Queenstown,"Dec 31, 2005"
2309,New Zealand,Sri Lanka,New Zealand,5 wickets,Christchurch,"Jan 3, 2006"
2310,New Zealand,Sri Lanka,New Zealand,21 runs,Wellington,"Jan 6, 2006"
2311,New Zealand,Sri Lanka,Sri Lanka,20 runs,Napier,"Jan 8, 2006"
2312,Australia,Sri Lanka,Australia,116 runs,Melbourne (Docklands),"Jan 13, 2006"
2313,Australia,South Africa,South Africa,5 wickets,Brisbane,"Jan 15, 2006"
2314,South Africa,Sri Lanka,Sri Lanka,94 runs,Brisbane,"Jan 17, 2006"
2315,Australia,South Africa,Australia,59 runs,Melbourne (Docklands),"Jan 20, 2006"
2316,Australia,Sri Lanka,Sri Lanka,51 runs,Sydney,"Jan 22, 2006"
2317,South Africa,Sri Lanka,South Africa,9 runs,Adelaide,"Jan 24, 2006"
2318,Australia,Sri Lanka,Australia,5 wickets,Adelaide,"Jan 26, 2006"
2319,Australia,Sri Lanka,Australia,6 wickets,Perth,"Jan 29, 2006"
2320,South Africa,Sri Lanka,South Africa,5 wickets,Perth,"Jan 31, 2006"
2321,Australia,South Africa,Australia,80 runs,Melbourne (Docklands),"Feb 3, 2006"
2322,Australia,South Africa,Australia,57 runs,Sydney,"Feb 5, 2006"
2323,Pakistan,India,Pakistan,7 runs,Peshawar,"Feb 6, 2006"
2324,South Africa,Sri Lanka,Sri Lanka,76 runs,Hobart,"Feb 7, 2006"
2325,Australia,Sri Lanka,Sri Lanka,22 runs,Adelaide,"Feb 10, 2006"
2326,Pakistan,India,India,7 wickets,Rawalpindi,"Feb 11, 2006"
2327,Australia,Sri Lanka,Australia,167 runs,Sydney,"Feb 12, 2006"
2328,Pakistan,India,India,5 wickets,Lahore,"Feb 13, 2006"
2329,Australia,Sri Lanka,Australia,9 wickets,Brisbane,"Feb 14, 2006"
2330,Pakistan,India,India,5 wickets,Multan,"Feb 16, 2006"
2331,New Zealand,West Indies,New Zealand,81 runs,Wellington,"Feb 18, 2006"
2332,Pakistan,India,India,8 wickets,Karachi,"Feb 19, 2006"
2333,Bangladesh,Sri Lanka,Sri Lanka,5 wickets,Bogra,"Feb 20, 2006"
2334,New Zealand,West Indies,New Zealand,3 wickets,Queenstown,"Feb 22, 2006"
2335,Bangladesh,Sri Lanka,Bangladesh,4 wickets,Bogra,"Feb 22, 2006"
2336,New Zealand,West Indies,New Zealand,21 runs,Christchurch,"Feb 25, 2006"
2337,Bangladesh,Sri Lanka,Sri Lanka,78 runs,Chattogram,"Feb 25, 2006"
2338,Zimbabwe,Kenya,Zimbabwe,8 wickets,Bulawayo,"Feb 25, 2006"
2339,Zimbabwe,Kenya,Kenya,79 runs,Bulawayo,"Feb 26, 2006"
2340,South Africa,Australia,South Africa,6 wickets,Centurion,"Feb 26, 2006"
2341,New Zealand,West Indies,New Zealand,91 runs,Napier,"Mar 1, 2006"
2342,Zimbabwe,Kenya,Kenya,65 runs,Harare,"Mar 1, 2006"
2343,Zimbabwe,Kenya,Zimbabwe,109 runs,Harare,"Mar 3, 2006"
2344,South Africa,Australia,South Africa,196 runs,Cape Town,"Mar 3, 2006"
2345,New Zealand,West Indies,West Indies,3 wickets,Auckland,"Mar 4, 2006"
2346,South Africa,Australia,Australia,24 runs,Gqeberha,"Mar 5, 2006"
2347,South Africa,Australia,Australia,1 wicket,Durban,"Mar 10, 2006"
2348,South Africa,Australia,South Africa,1 wicket,Johannesburg,"Mar 12, 2006"
2349,Bangladesh,Kenya,Bangladesh,131 runs,Bogra,"Mar 17, 2006"
2350,Sri Lanka,Pakistan,no result,-,Colombo (RPS),"Mar 17, 2006"
2351,Sri Lanka,Pakistan,Pakistan,4 wickets,Colombo (RPS),"Mar 19, 2006"
2352,Bangladesh,Kenya,Bangladesh,9 wickets,Khulna,"Mar 20, 2006"
2353,Sri Lanka,Pakistan,Pakistan,4 wickets,Colombo (SSC),"Mar 22, 2006"
2354,Bangladesh,Kenya,Bangladesh,20 runs,Fatullah,"Mar 23, 2006"
2355,Bangladesh,Kenya,Bangladesh,7 wickets,Fatullah,"Mar 25, 2006"
2356,India,England,India,39 runs,Delhi,"Mar 28, 2006"
2357,India,England,India,4 wickets,Faridabad,"Mar 31, 2006"
2358,India,England,India,49 runs,Margao,"Apr 3, 2006"
2359,India,England,India,4 wickets,Kochi,"Apr 6, 2006"
2360,India,England,England,5 wickets,Jamshedpur,"Apr 12, 2006"
2361,India,England,India,7 wickets,Indore,"Apr 15, 2006"
2362,India,Pakistan,Pakistan,6 wickets,Abu Dhabi,"Apr 18, 2006"
2363,India,Pakistan,India,51 runs,Abu Dhabi,"Apr 19, 2006"
2364,Bangladesh,Australia,Australia,4 wickets,Chattogram,"Apr 23, 2006"
2365,Bangladesh,Australia,Australia,67 runs,Fatullah,"Apr 26, 2006"
2366,Bangladesh,Australia,Australia,9 wickets,Fatullah,"Apr 28, 2006"
2367,West Indies,Zimbabwe,West Indies,5 wickets,St John's,"Apr 29, 2006"
2368,West Indies,Zimbabwe,West Indies,98 runs,St John's,"Apr 30, 2006"
2369,West Indies,Zimbabwe,West Indies,82 runs,Georgetown,"May 7, 2006"
2370,West Indies,Zimbabwe,West Indies,10 wickets,Gros Islet,"May 10, 2006"
2371,West Indies,Zimbabwe,no result,-,Port of Spain,"May 13, 2006"
2372,West Indies,Zimbabwe,West Indies,104 runs,Port of Spain,"May 14, 2006"
2373,Canada,Zimbabwe,Zimbabwe,143 runs,Port of Spain,"May 16, 2006"
2374,Bermuda,Canada,Bermuda,3 wickets,Port of Spain,"May 17, 2006"
2375,Bermuda,Zimbabwe,Zimbabwe,194 runs,Port of Spain,"May 18, 2006"
2376,West Indies,India,India,5 wickets,Kingston,"May 18, 2006"
2377,Bermuda,Zimbabwe,Zimbabwe,83 runs,Port of Spain,"May 20, 2006"
2378,West Indies,India,West Indies,1 run,Kingston,"May 20, 2006"
2379,West Indies,India,West Indies,4 wickets,Basseterre,"May 23, 2006"
2380,West Indies,India,West Indies,6 wickets,Port of Spain,"May 26, 2006"
2381,West Indies,India,West Indies,19 runs,Port of Spain,"May 28, 2006"
2382,Ireland,England,England,38 runs,Belfast,"Jun 13, 2006"
2383,England,Sri Lanka,Sri Lanka,20 runs,Lord's,"Jun 17, 2006"
2384,England,Sri Lanka,Sri Lanka,46 runs,The Oval,"Jun 20, 2006"
2385,England,Sri Lanka,Sri Lanka,8 wickets,Chester-le-Street,"Jun 24, 2006"
2386,Scotland,Pakistan,Pakistan,5 wickets,Edinburgh,"Jun 27, 2006"
2387,England,Sri Lanka,Sri Lanka,33 runs,Manchester,"Jun 28, 2006"
2388,England,Sri Lanka,Sri Lanka,8 wickets,Leeds,"Jul 1, 2006"
2389,Netherlands,Sri Lanka,Sri Lanka,195 runs,Amstelveen,"Jul 4, 2006"
2390,Netherlands,Sri Lanka,Sri Lanka,55 runs,Amstelveen,"Jul 6, 2006"
2391,Zimbabwe,Bangladesh,Zimbabwe,2 wickets,Harare,"Jul 29, 2006"
2392,Zimbabwe,Bangladesh,Bangladesh,62 runs,Harare,"Jul 30, 2006"
2393,Zimbabwe,Bangladesh,Zimbabwe,2 wickets,Harare,"Aug 2, 2006"
2394,Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,"Aug 4, 2006"
2395,Scotland,Ireland,Ireland,85 runs,Ayr,"Aug 5, 2006"
2396,Canada,Kenya,Kenya,108 runs,Toronto,"Aug 5, 2006"
2397,Zimbabwe,Bangladesh,Bangladesh,8 wickets,Harare,"Aug 6, 2006"
2398,Scotland,Netherlands,Scotland,4 wickets,Ayr,"Aug 6, 2006"
2399,Canada,Kenya,Kenya,5 wickets,Toronto,"Aug 6, 2006"
2400,Ireland,Netherlands,no result,-,Ayr,"Aug 8, 2006"
2401,Kenya,Bangladesh,Bangladesh,6 wickets,Nairobi (Gym),"Aug 12, 2006"
2402,Kenya,Bangladesh,Bangladesh,2 wickets,Nairobi (Gym),"Aug 13, 2006"
2403,Kenya,Bangladesh,Bangladesh,6 wickets,Nairobi (Gym),"Aug 15, 2006"
2404,Sri Lanka,India,no result,-,Colombo (SSC),"Aug 18-19, 2006"
2405,Canada,Bermuda,Bermuda,6 wickets,Toronto,"Aug 19, 2006"
2406,Canada,Bermuda,Bermuda,11 runs,Toronto,"Aug 21, 2006"
2407,England,Pakistan,no result,-,Cardiff,"Aug 30, 2006"
2408,England,Pakistan,Pakistan,7 wickets,Lord's,"Sep 2, 2006"
2409,England,Pakistan,Pakistan,2 wickets,Southampton,"Sep 5, 2006"
2410,England,Pakistan,England,8 wickets,Nottingham,"Sep 8, 2006"
2411,England,Pakistan,England,3 wickets,Birmingham,"Sep 10, 2006"
2412,Australia,West Indies,Australia,78 runs,Kuala Lumpur,"Sep 12, 2006"
2413,India,West Indies,West Indies,29 runs,Kuala Lumpur,"Sep 14, 2006"
2414,South Africa,Zimbabwe,South Africa,5 wickets,Bloemfontein,"Sep 15, 2006"
2415,Australia,India,no result,-,Kuala Lumpur,"Sep 16, 2006"
2416,Australia,West Indies,West Indies,3 wickets,Kuala Lumpur,"Sep 18, 2006"
2417,South Africa,Zimbabwe,South Africa,6 wickets,East London,"Sep 18, 2006"
2418,India,West Indies,India,16 runs,Kuala Lumpur,"Sep 20, 2006"
2419,South Africa,Zimbabwe,South Africa,171 runs,Potchefstroom,"Sep 20, 2006"
2420,Australia,India,Australia,18 runs,Kuala Lumpur,"Sep 22, 2006"
2421,Australia,West Indies,Australia,127 runs,Kuala Lumpur,"Sep 24, 2006"
2422,Bangladesh,Sri Lanka,Sri Lanka,37 runs,Mohali,"Oct 7, 2006"
2423,West Indies,Zimbabwe,West Indies,9 wickets,Ahmedabad,"Oct 8, 2006"
2424,Sri Lanka,Zimbabwe,Sri Lanka,144 runs,Ahmedabad,"Oct 10, 2006"
2425,Bangladesh,West Indies,West Indies,10 wickets,Jaipur,"Oct 11, 2006"
2426,Bangladesh,Zimbabwe,Bangladesh,101 runs,Jaipur,"Oct 13, 2006"
2427,Sri Lanka,West Indies,Sri Lanka,9 wickets,Brabourne,"Oct 14, 2006"
2428,India,England,India,4 wickets,Jaipur,"Oct 15, 2006"
2429,New Zealand,South Africa,New Zealand,87 runs,Brabourne,"Oct 16, 2006"
2430,Pakistan,Sri Lanka,Pakistan,4 wickets,Jaipur,"Oct 17, 2006"
2431,Australia,West Indies,West Indies,10 runs,Brabourne,"Oct 18, 2006"
2432,New Zealand,Sri Lanka,Sri Lanka,7 wickets,Brabourne,"Oct 20, 2006"
2433,Australia,England,Australia,6 wickets,Jaipur,"Oct 21, 2006"
2434,South Africa,Sri Lanka,South Africa,78 runs,Ahmedabad,"Oct 24, 2006"
2435,New Zealand,Pakistan,New Zealand,51 runs,Mohali,"Oct 25, 2006"
2436,India,West Indies,West Indies,3 wickets,Ahmedabad,"Oct 26, 2006"
2437,Pakistan,South Africa,South Africa,124 runs,Mohali,"Oct 27, 2006"
2438,England,West Indies,England,3 wickets,Ahmedabad,"Oct 28, 2006"
2439,India,Australia,Australia,6 wickets,Mohali,"Oct 29, 2006"
2440,Australia,New Zealand,Australia,34 runs,Mohali,"Nov 1, 2006"
2441,South Africa,West Indies,West Indies,6 wickets,Jaipur,"Nov 2, 2006"
2442,Australia,West Indies,Australia,8 wickets,Brabourne,"Nov 5, 2006"
2443,Kenya,Bermuda,Kenya,79 runs,Mombasa,"Nov 11, 2006"
2444,Kenya,Bermuda,Kenya,7 wickets,Mombasa,"Nov 12, 2006"
2445,Kenya,Bermuda,Kenya,104 runs,Mombasa,"Nov 14, 2006"
2446,South Africa,India,South Africa,157 runs,Durban,"Nov 22, 2006"
2447,Canada,Netherlands,Netherlands,17 runs,Potchefstroom,"Nov 26, 2006"
2448,South Africa,India,South Africa,106 runs,Cape Town,"Nov 26, 2006"
2449,Bermuda,Canada,Canada,5 wickets,Potchefstroom,"Nov 27, 2006"
2450,Bermuda,Netherlands,Netherlands,8 wickets,Potchefstroom,"Nov 28, 2006"
2451,South Africa,India,South Africa,80 runs,Gqeberha,"Nov 29, 2006"
2452,Bangladesh,Zimbabwe,Bangladesh,9 wickets,Khulna,"Nov 30, 2006"
2453,Bermuda,Canada,Canada,3 wickets,Benoni,"Nov 30, 2006"
2454,Canada,Netherlands,Netherlands,1 wicket,Benoni,"Dec 1, 2006"
2455,Bermuda,Netherlands,Bermuda,6 wickets,Benoni,"Dec 2, 2006"
2456,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Bogra,"Dec 3, 2006"
2457,South Africa,India,South Africa,9 wickets,Centurion,"Dec 3, 2006"
2458,Bangladesh,Zimbabwe,Bangladesh,26 runs,Bogra,"Dec 5, 2006"
2459,Pakistan,West Indies,Pakistan,2 wickets,Faisalabad,"Dec 7, 2006"
2460,Bangladesh,Zimbabwe,Bangladesh,8 wickets,Mirpur,"Dec 8, 2006"
2461,Bangladesh,Zimbabwe,Bangladesh,3 wickets,Mirpur,"Dec 9, 2006"
2462,Pakistan,West Indies,Pakistan,7 wickets,Lahore,"Dec 10, 2006"
2463,Pakistan,West Indies,West Indies,7 wickets,Multan,"Dec 13, 2006"
2464,Bangladesh,Scotland,Bangladesh,6 wickets,Chattogram,"Dec 15, 2006"
2465,Pakistan,West Indies,Pakistan,7 wickets,Karachi,"Dec 16, 2006"
2466,Bangladesh,Scotland,Bangladesh,146 runs,Mirpur,"Dec 17, 2006"
2467,New Zealand,Sri Lanka,Sri Lanka,7 wickets,Napier,"Dec 28, 2006"
2468,New Zealand,Sri Lanka,New Zealand,1 wicket,Queenstown,"Dec 31, 2006"
2469,New Zealand,Sri Lanka,New Zealand,4 wickets,Christchurch,"Jan 2, 2007"
2470,New Zealand,Sri Lanka,Sri Lanka,189 runs,Auckland,"Jan 6, 2007"
2471,New Zealand,Sri Lanka,no result,-,Hamilton,"Jan 9, 2007"
2472,Australia,England,Australia,8 wickets,Melbourne,"Jan 12, 2007"
2473,Australia,New Zealand,Australia,105 runs,Hobart,"Jan 14, 2007"
2474,England,New Zealand,England,3 wickets,Hobart,"Jan 16, 2007"
2475,Kenya,Scotland,Kenya,190 runs,Mombasa,"Jan 17, 2007"
2476,Canada,Scotland,Scotland,2 wickets,Mombasa,"Jan 18, 2007"
2477,Australia,England,Australia,4 wickets,Brisbane,"Jan 19, 2007"
2478,Australia,New Zealand,Australia,2 wickets,Sydney,"Jan 21, 2007"
2479,India,West Indies,India,14 runs,Nagpur,"Jan 21, 2007"
2480,Kenya,Scotland,Kenya,6 runs,Mombasa,"Jan 21, 2007"
2481,England,New Zealand,New Zealand,90 runs,Adelaide,"Jan 23, 2007"
2482,Canada,Scotland,Scotland,2 wickets,Mombasa,"Jan 23, 2007"
2483,Kenya,Canada,Canada,69 runs,Mombasa,"Jan 24, 2007"
2484,India,West Indies,India,20 runs,Cuttack,"Jan 24, 2007"
2485,Australia,England,Australia,9 wickets,Adelaide,"Jan 26, 2007"
2486,India,West Indies,West Indies,3 wickets,Chennai,"Jan 27, 2007"
2487,Australia,New Zealand,Australia,8 runs,Perth,"Jan 28, 2007"
2488,Kenya,Bermuda,Kenya,10 wickets,Nairobi (Jaff),"Jan 29, 2007"
2489,England,New Zealand,New Zealand,58 runs,Perth,"Jan 30, 2007"
2490,Canada,Netherlands,Netherlands,8 wickets,Nairobi (Ruaraka),"Jan 30, 2007"
2491,Ireland,Scotland,Scotland,3 wickets,Nairobi (Gym),"Jan 30, 2007"
2492,India,West Indies,India,160 runs,Vadodara,"Jan 31, 2007"
2493,Bermuda,Ireland,Ireland,4 wickets,Nairobi (Jaff),"Jan 31, 2007"
2494,Canada,Scotland,Scotland,7 runs,Nairobi (Ruaraka),"Jan 31, 2007"
2495,Kenya,Netherlands,Kenya,7 wickets,Nairobi (Gym),"Jan 31, 2007"
2496,Australia,England,England,92 runs,Sydney,"Feb 2, 2007"
2497,Bermuda,Canada,Canada,56 runs,Nairobi (Gym),"Feb 2, 2007"
2498,Kenya,Ireland,Kenya,1 wicket,Nairobi (Ruaraka),"Feb 2, 2007"
2499,Netherlands,Scotland,Scotland,2 runs,Nairobi (Jaff),"Feb 2, 2007"
2500,Australia,New Zealand,Australia,5 wickets,Melbourne,"Feb 4, 2007"
2501,Bermuda,Netherlands,Netherlands,8 wickets,Nairobi (Ruaraka),"Feb 4, 2007"
2502,Canada,Ireland,Canada,6 wickets,Nairobi (Jaff),"Feb 4, 2007"
2503,Kenya,Scotland,Scotland,77 runs,Nairobi (Gym),"Feb 4, 2007"
2504,Zimbabwe,Bangladesh,Bangladesh,45 runs,Harare,"Feb 4, 2007"
2505,South Africa,Pakistan,South Africa,164 runs,Centurion,"Feb 4, 2007"
2506,Bermuda,Scotland,Bermuda,5 wickets,Nairobi (Ruaraka),"Feb 5, 2007"
2507,Kenya,Canada,Kenya,158 runs,Nairobi (Jaff),"Feb 5, 2007"
2508,Ireland,Netherlands,Netherlands,6 runs,Nairobi (Gym),"Feb 5, 2007"
2509,England,New Zealand,England,14 runs,Brisbane,"Feb 6, 2007"
2510,Zimbabwe,Bangladesh,Zimbabwe,8 wickets,Harare,"Feb 6, 2007"
2511,Kenya,Scotland,Kenya,8 wickets,Nairobi (Gym),"Feb 7, 2007"
2512,South Africa,Pakistan,Pakistan,141 runs,Durban,"Feb 7, 2007"
2513,India,Sri Lanka,no result,-,Eden Gardens,"Feb 8, 2007"
2514,Australia,England,England,4 wickets,Melbourne,"Feb 9, 2007"
2515,Zimbabwe,Bangladesh,Bangladesh,14 runs,Harare,"Feb 9, 2007"
2516,South Africa,Pakistan,no result,-,Gqeberha,"Feb 9, 2007"
2517,Zimbabwe,Bangladesh,Bangladesh,1 wicket,Harare,"Feb 10, 2007"
2518,Australia,England,England,34 runs,Sydney,"Feb 11, 2007"
2519,India,Sri Lanka,Sri Lanka,5 runs,Rajkot,"Feb 11, 2007"
2520,South Africa,Pakistan,South Africa,10 wickets,Cape Town,"Feb 11, 2007"
2521,India,Sri Lanka,India,5 wickets,Margao,"Feb 14, 2007"
2522,South Africa,Pakistan,South Africa,9 wickets,Johannesburg,"Feb 14, 2007"
2523,New Zealand,Australia,New Zealand,10 wickets,Wellington,"Feb 16, 2007"
2524,India,Sri Lanka,India,7 wickets,Visakhapatnam,"Feb 17, 2007"
2525,New Zealand,Australia,New Zealand,5 wickets,Auckland,"Feb 18, 2007"
2526,New Zealand,Australia,New Zealand,1 wicket,Hamilton,"Feb 20, 2007"
2527,Bangladesh,Bermuda,Bangladesh,8 wickets,St John's,"Feb 25, 2007"
2528,Bermuda,Canada,Canada,3 wickets,St John's,"Feb 26, 2007"
2529,Bangladesh,Canada,Bangladesh,13 runs,St John's,"Feb 28, 2007"
2530,West Indies,Pakistan,West Indies,54 runs,Kingston,"Mar 13, 2007"
2531,Australia,Scotland,Australia,203 runs,Basseterre,"Mar 14, 2007"
2532,Canada,Kenya,Kenya,7 wickets,Gros Islet,"Mar 14, 2007"
2533,Bermuda,Sri Lanka,Sri Lanka,243 runs,Port of Spain,"Mar 15, 2007"
2534,Ireland,Zimbabwe,tied,-,Kingston,"Mar 15, 2007"
2535,England,New Zealand,New Zealand,6 wickets,Gros Islet,"Mar 16, 2007"
2536,Netherlands,South Africa,South Africa,221 runs,Basseterre,"Mar 16, 2007"
2537,Bangladesh,India,Bangladesh,5 wickets,Port of Spain,"Mar 17, 2007"
2538,Ireland,Pakistan,Ireland,3 wickets,Kingston,"Mar 17, 2007"
2539,Australia,Netherlands,Australia,229 runs,Basseterre,"Mar 18, 2007"
2540,Canada,England,England,51 runs,Gros Islet,"Mar 18, 2007"
2541,Bermuda,India,India,257 runs,Port of Spain,"Mar 19, 2007"
2542,West Indies,Zimbabwe,West Indies,6 wickets,Kingston,"Mar 19, 2007"
2543,Kenya,New Zealand,New Zealand,148 runs,Gros Islet,"Mar 20, 2007"
2544,Scotland,South Africa,South Africa,7 wickets,Basseterre,"Mar 20, 2007"
2545,Bangladesh,Sri Lanka,Sri Lanka,198 runs,Port of Spain,"Mar 21, 2007"
2546,Pakistan,Zimbabwe,Pakistan,93 runs,Kingston,"Mar 21, 2007"
2547,Canada,New Zealand,New Zealand,114 runs,Gros Islet,"Mar 22, 2007"
2548,Netherlands,Scotland,Netherlands,8 wickets,Basseterre,"Mar 22, 2007"
2549,India,Sri Lanka,Sri Lanka,69 runs,Port of Spain,"Mar 23, 2007"
2550,West Indies,Ireland,West Indies,8 wickets,Kingston,"Mar 23, 2007"
2551,Australia,South Africa,Australia,83 runs,Basseterre,"Mar 24, 2007"
2552,England,Kenya,England,7 wickets,Gros Islet,"Mar 24, 2007"
2553,Bangladesh,Bermuda,Bangladesh,7 wickets,Port of Spain,"Mar 25, 2007"
2554,West Indies,Australia,Australia,103 runs,North Sound,"Mar 27-28, 2007"
2555,South Africa,Sri Lanka,South Africa,1 wicket,Providence,"Mar 28, 2007"
2556,West Indies,New Zealand,New Zealand,7 wickets,North Sound,"Mar 29, 2007"
2557,England,Ireland,England,48 runs,Providence,"Mar 30, 2007"
2558,Australia,Bangladesh,Australia,10 wickets,North Sound,"Mar 31, 2007"
2559,West Indies,Sri Lanka,Sri Lanka,113 runs,Providence,"Apr 1, 2007"
2560,Bangladesh,New Zealand,New Zealand,9 wickets,North Sound,"Apr 2, 2007"
2561,Ireland,South Africa,South Africa,7 wickets,Providence,"Apr 3, 2007"
2562,England,Sri Lanka,Sri Lanka,2 runs,North Sound,"Apr 4, 2007"
2563,Bangladesh,South Africa,Bangladesh,67 runs,Providence,"Apr 7, 2007"
2564,Australia,England,Australia,7 wickets,North Sound,"Apr 8, 2007"
2565,Ireland,New Zealand,New Zealand,129 runs,Providence,"Apr 9, 2007"
2566,West Indies,South Africa,South Africa,67 runs,St George's,"Apr 10, 2007"
2567,Bangladesh,England,England,4 wickets,Bridgetown,"Apr 11, 2007"
2568,New Zealand,Sri Lanka,Sri Lanka,6 wickets,St George's,"Apr 12, 2007"
2569,Australia,Ireland,Australia,9 wickets,Bridgetown,"Apr 13, 2007"
2570,New Zealand,South Africa,New Zealand,5 wickets,St George's,"Apr 14, 2007"
2571,Bangladesh,Ireland,Ireland,74 runs,Bridgetown,"Apr 15, 2007"
2572,Australia,Sri Lanka,Australia,7 wickets,St George's,"Apr 16, 2007"
2573,England,South Africa,South Africa,9 wickets,Bridgetown,"Apr 17, 2007"
2574,Ireland,Sri Lanka,Sri Lanka,8 wickets,St George's,"Apr 18, 2007"
2575,West Indies,Bangladesh,West Indies,99 runs,Bridgetown,"Apr 19, 2007"
2576,Australia,New Zealand,Australia,215 runs,St George's,"Apr 20, 2007"
2577,West Indies,England,England,1 wicket,Bridgetown,"Apr 21, 2007"
2578,New Zealand,Sri Lanka,Sri Lanka,81 runs,Kingston,"Apr 24, 2007"
2579,Australia,South Africa,Australia,7 wickets,Gros Islet,"Apr 25, 2007"
2580,Australia,Sri Lanka,Australia,53 runs,Bridgetown,"Apr 28, 2007"
2581,Bangladesh,India,India,5 wickets,Mirpur,"May 10, 2007"
2582,Bangladesh,India,India,46 runs,Mirpur,"May 12, 2007"
2583,Pakistan,Sri Lanka,Pakistan,5 wickets,Abu Dhabi,"May 18, 2007"
