,Team_1,Team_2,Winner,Margin,Ground,Match Date
4213,Afghanistan,West Indies,West Indies,47 runs,Lucknow,"Nov 9, 2019"
4214,Afghanistan,West Indies,West Indies,5 wickets,Lucknow,"Nov 11, 2019"
4215,U.A.E.,U.S.A.,U.S.A.,3 wickets,Sharjah,"Dec 8, 2019"
4216,Scotland,U.S.A.,U.S.A.,35 runs,Sharjah,"Dec 9, 2019"
4217,U.A.E.,U.S.A.,U.S.A.,98 runs,ICCA Dubai,"Dec 12, 2019"
4218,Scotland,U.S.A.,Scotland,4 wickets,ICCA Dubai,"Dec 14, 2019"
4219,U.A.E.,Scotland,U.A.E.,7 wickets,ICCA Dubai,"Dec 15, 2019"
4220,India,West Indies,West Indies,8 wickets,Chennai,"Dec 15, 2019"
4221,India,West Indies,India,107 runs,Visakhapatnam,"Dec 18, 2019"
4222,India,West Indies,India,4 wickets,Cuttack,"Dec 22, 2019"
4223,Oman,U.A.E.,Oman,5 wickets,Al Amerat,"Jan 5, 2020"
4224,Namibia,U.A.E.,U.A.E.,8 runs,Al Amerat,"Jan 6, 2020"
4225,West Indies,Ireland,West Indies,5 wickets,Bridgetown,"Jan 7, 2020"
4226,Oman,Namibia,Namibia,52 runs,Al Amerat,"Jan 8, 2020"
4227,Namibia,U.A.E.,U.A.E.,8 wickets,Al Amerat,"Jan 9, 2020"
4228,West Indies,Ireland,West Indies,1 wicket,Bridgetown,"Jan 9, 2020"
4229,West Indies,Ireland,West Indies,5 wickets,St George's,"Jan 12, 2020"
4230,India,Australia,Australia,10 wickets,Wankhede,"Jan 14, 2020"
4231,India,Australia,India,36 runs,Rajkot,"Jan 17, 2020"
4232,India,Australia,India,7 wickets,Bengaluru,"Jan 19, 2020"
4233,South Africa,England,South Africa,7 wickets,Cape Town,"Feb 4, 2020"
4234,New Zealand,India,New Zealand,4 wickets,Hamilton,"Feb 5, 2020"
4235,Nepal,Oman,Oman,18 runs,Kirtipur,"Feb 5, 2020"
4236,Oman,U.S.A.,Oman,6 wickets,Kirtipur,"Feb 6, 2020"
4237,South Africa,England,no result,-,Durban,"Feb 7, 2020"
4238,New Zealand,India,New Zealand,22 runs,Auckland,"Feb 8, 2020"
4239,Nepal,U.S.A.,Nepal,35 runs,Kirtipur,"Feb 8, 2020"
4240,Nepal,Oman,Oman,8 wickets,Kirtipur,"Feb 9, 2020"
4241,South Africa,England,England,2 wickets,Johannesburg,"Feb 9, 2020"
4242,New Zealand,India,New Zealand,5 wickets,Mount Maunganui,"Feb 11, 2020"
4243,Oman,U.S.A.,Oman,92 runs,Kirtipur,"Feb 11, 2020"
4244,Nepal,U.S.A.,Nepal,8 wickets,Kirtipur,"Feb 12, 2020"
4245,Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (SSC),"Feb 22, 2020"
4246,Sri Lanka,West Indies,Sri Lanka,161 runs,Hambantota,"Feb 26, 2020"
4247,South Africa,Australia,South Africa,74 runs,Paarl,"Feb 29, 2020"
4248,Bangladesh,Zimbabwe,Bangladesh,169 runs,Sylhet,"Mar 1, 2020"
4249,Sri Lanka,West Indies,Sri Lanka,6 runs,Pallekele,"Mar 1, 2020"
4250,Bangladesh,Zimbabwe,Bangladesh,4 runs,Sylhet,"Mar 3, 2020"
4251,South Africa,Australia,South Africa,6 wickets,Bloemfontein,"Mar 4, 2020"
4252,Bangladesh,Zimbabwe,Bangladesh,123 runs,Sylhet,"Mar 6, 2020"
4253,South Africa,Australia,South Africa,6 wickets,Potchefstroom,"Mar 7, 2020"
4254,Australia,New Zealand,Australia,71 runs,Sydney,"Mar 13, 2020"
4255,England,Ireland,England,6 wickets,Southampton,"Jul 30, 2020"
4256,England,Ireland,England,4 wickets,Southampton,"Aug 1, 2020"
4257,England,Ireland,Ireland,7 wickets,Southampton,"Aug 4, 2020"
